,post_from,post_id,post_name,post_type,post_message,post_link,post_shares,created_time
47,262755230730537,262755230730537_543146876024703,Rolls de pizza,video,"Decile ""chau"" a la clasica pizza !

Este roll es increiblemente rico y mucho mas facil  #inlove #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/543146876024703/,,2017-11-15 19:00:00
48,262755230730537,262755230730537_543053046034086,,photo,"En #Cucinare nos estamos preparando con ""tutti"" para la panzada... 

Cual es tu plato favorito de #Navidad?",https://www.facebook.com/cucinareok/photos/a.285399835132743.1073741828.262755230730537/543051352700922/?type=3,,2017-11-15 16:31:13
49,262755230730537,262755230730537_543121609360563,Frozen de banana y arandanos,video,"Tenes arandanos y banana? 

Aprovecha el calorcito para acompanarlo de un buen batido frozen... suman mucha energia a tu dia!  #Cucinare",https://www.facebook.com/cucinareok/videos/543121609360563/,,2017-11-15 14:50:32
50,262755230730537,262755230730537_543041352701922,Pizza de espinaca con salsa blanca,video,"Una clasica de muzza? NOOO! 

Animate a innovar y proba con esta opcion super facil y riquisima: marche una #pizza de espinaca con salsa blanca!  #Cucinare",https://www.facebook.com/cucinareok/videos/543041352701922/,,2017-11-15 10:56:08
51,262755230730537,262755230730537_542956589377065,Cucinare: Red velvet cookies,video,Arrancar el dia con unos buenos mates y unas deliciosas cookies no tiene precio  #Cucinare,https://www.facebook.com/cucinareok/videos/542956589377065/,,2017-11-15 07:36:33
52,262755230730537,262755230730537_542666492739408,"Lasagna de espinaca, ricotta y queso",video,"Como todos los martes, las #pastas llegan a la pantalla de #CucinareTV

Queres saber como preparar la mejor #lasagna? Con estos pasos te vas llevar todos los aplausos  #Cucinare",https://www.facebook.com/cucinareok/videos/542666492739408/,,2017-11-14 23:00:00
53,262755230730537,262755230730537_542666352739422,Fideos con el sello de Dolce & Gabbana: la pasta mas cara del mundo?,link,No vas a creer el precio de un paquete de spaghetti...,https://www.cucinare.tv/2017/11/14/fideos-con-el-sello-de-dolce-gabbana-la-pasta-mas-cara-del-mundo/,,2017-11-14 20:31:00
54,262755230730537,262755230730537_542654082740649,Torta salada de canastitas,video,"Si te gustan las canastitas, mucho mas te va a gustar esta genial idea para compartir entre amigos! 

Quien es el amigo que se pone la ""10"" y las prepara? Etiquetalo! #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/542654082740649/,,2017-11-14 20:00:00
55,262755230730537,262755230730537_542662282739829,Budin de pollo y puerro,video,"Una dupla que siempre te hace quedar bien: mira esta receta de budin de pollo y puerro!

[Contenido patrocinado]",https://www.facebook.com/cucinareok/videos/542662282739829/,,2017-11-14 18:30:00
56,262755230730537,262755230730537_542653566074034,Wafles con fruta y miel,video,"A DISFRUTAR DE UNOS BUENOS WAFLES! 

No te los pierdas y preparaselos a esa persona especial  #Cucinare #RecetasCaseras",https://www.facebook.com/cucinareok/videos/542653566074034/,,2017-11-14 15:00:01
